HCODE,DOCTYP,TAKER,DST,TRIA,DIRORG,DECAL,DSUNT,NOTES,SEDAT,EXTP,DEPN,COMIT,DSIZE,PORCS,DAREA
1030333A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030323A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030303A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030291A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030283A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030274A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030263A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030254A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030243A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030234A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030221A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030213A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030191A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030184A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030174A,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030163A,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030153A,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030153D,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030151T,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030151X,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030144A,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030144T,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030144X,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030141D,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030134A,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030134D,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030134T,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030131X,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030124A,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030123D,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030123X,差異分析報告,蔡秀美,高雄市,-,高雄市政府工務局,,,,1030409,審查中,靜崗建設有限公司,-,0,審查中,0
1030121T,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030114T,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030112A,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030111D,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030111X,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030104T,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030104X,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030102A,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030094D,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030093A,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030091E,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030091T,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030084X,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030083A,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030083E,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030081D,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030081T,說明書,姜樹成,臺中市,1030325,臺中市政府經濟發展局,園區之開發,公頃,,1030311,審查中,臺中市政府,-,14.78,初審中,14.78
1030074E,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030073A,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030071D,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030071T,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030071X,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030065T,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030064A,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030064F,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030063E,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030061D,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030061X,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030054T,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030053E,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030051F,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030051X,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030044A,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030044T,變更內容對照表,高千惠,臺中市,1030311,臺中市政府水利局,,,,1030214,審查中,臺中市政府水利局,1030321,0,審查中,0
1030044X,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030043W,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030041E,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030041F,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030034E,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030034F,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030034P,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030034X,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030033A,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030033D,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030033T,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030033W,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030024E,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030024W,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030023D,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030023P,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030023T,差異分析報告,姜樹成,臺中市,1030110,臺中市政府經濟發展局,,,定稿本,1021223,審查中,輔德高分子股份有限公司,1030321,0,審查中,0
1030023X,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030021C,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030021F,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030020A,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030014W,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030013A,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030013F,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030013O,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030013V,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030013X,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030011C,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030011E,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030011H,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030011P,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1030011S,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1021621A,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1021618A,其他 (環調),邱景昆,雲林縣,-,?,,,,1020101,其他,南亞塑膠工業股份有限公司,-,0,未繳費,0
1021573A,變更內容對照表,邱景昆,臺灣地區,1021202,交通部,,,本書件為修正本,1021119,審查中,交通部公路總局第四區養護工程處,1030312,0,審查中,0
1021564A,變更內容對照表,邱景昆,臺灣地區,1021202,交通部,,,本書件為修正本,1021119,審查中,交通部公路總局第四區養護工程處,1030312,0,審查中,0
1021544A,變更內容對照表,邱景昆,臺灣地區,1021202,交通部,,,本書件為修正本,1021119,審查中,交通部公路總局第四區養護工程處,1030312,0,審查中,0
1021534A,變更內容對照表,邱景昆,臺灣地區,1021202,交通部,,,本書件為修正本,1021119,審查中,交通部公路總局第四區養護工程處,1030312,0,審查中,0
1021523A,變更內容對照表,邱景昆,臺灣地區,1021202,交通部,,,本書件為修正本,1021119,審查中,交通部公路總局第四區養護工程處,1030312,0,審查中,0
1021511A,變更內容對照表,邱景昆,臺灣地區,1021202,交通部,,,本書件為修正本,1021119,審查中,交通部公路總局第四區養護工程處,1030312,0,審查中,0
1021504A,變更內容對照表,邱景昆,臺灣地區,1021202,交通部,,,本書件為修正本,1021119,審查中,交通部公路總局第四區養護工程處,1030312,0,審查中,0
1021493A,變更內容對照表,邱景昆,臺灣地區,1021202,交通部,,,本書件為修正本,1021119,審查中,交通部公路總局第四區養護工程處,1030312,0,審查中,0
1021484A,變更內容對照表,邱景昆,臺灣地區,1021202,交通部,,,本書件為修正本,1021119,審查中,交通部公路總局第四區養護工程處,1030312,0,審查中,0
1021470A,變更內容對照表,邱景昆,,1021202,交通部,,,本書件為修正本,1021119,審查中,交通部公路總局第四區養護工程處,1030312,0,審查中,0
1021414A,,,,,,,,,,,,,,,
1021424A,,,,,,,,,,,,,,,
1021393A,,,,,,,,,,,,,,,
1021404A,,,,,,,,,,,,,,,
1021461A,說明書,商維庭,臺北市,1021210,國立故宮博物院,文教建設之開發,平方公尺,本書件為公開陳列版,1021115,應繼續進行第二階段環境影響評估,國立故宮博物院,1021225,45000,辦理結案,20.6
1021443A,說明書,張同婉,南投縣,1021120,經濟部,園區之開發,公頃,本書件為初稿本,1021002,認定不應開發,南投縣政府,1021225,82.72,辦理結案,82.72
1021434A,變更內容對照表,邱景昆,臺灣地區,1021031,交通部,,,本書件為定稿本,1020101,審核修正通過,交通部公路總局第二區養護工程處,1030108,0,辦理結案,0
1021373A,變更內容對照表,邱景昆,臺南市,1021120,教育部,,,本書件為修訂本,1021028,審查中,嘉南開發事業股份有限公司,1030416,0,審查中,0
1021453A,變更內容對照表,邱景昆,臺南市,1021120,教育部,,,本書件為修訂本,1021028,審查中,嘉南開發事業股份有限公司,1030416,0,審查中,0
1021303A,差異分析報告,陳彥男,臺中市,1030318,經濟部能源局,,,本書件為修訂本,1021024,審查中,中威風力發電股份有限公司,-,0,補正後再審,0
1021283A,變更內容對照表,邱景昆,臺灣地區,1021031,交通部,,,本書件為定稿本,1021010,審核修正通過,交通部臺灣區國道高速公路局,1021211,0,辦理結案,0
1021381A,變更內容對照表,邱景昆,臺灣地區,1021031,交通部,,,本書件為定稿本,1021017,審核修正通過,交通部臺灣區國道高速公路局,1021211,0,辦理結案,0
1021291A,說明書,黃珮瑜,新竹市,1021031,教育部,文教建設之開發,平方公尺,本書件為初稿本；補正期限：103年1月31日。,1020913,審查中,國立清華大學,-,529033.69,補正後再審,23.378432
1021354A,說明書,黃珮瑜,新竹市,1021031,教育部,文教建設之開發,平方公尺,本書件為初稿本；補正期限：103年1月31日。,1020913,審查中,國立清華大學,-,529033.69,補正後再審,23.378432
1021264A,說明書,黃珮瑜,新竹市,1021031,教育部,文教建設之開發,平方公尺,本書件為初稿本；補正期限：103年1月31日。,1020913,審查中,國立清華大學,-,529033.69,補正後再審,23.378432
1021254A,說明書,黃珮瑜,新竹市,1021031,教育部,文教建設之開發,平方公尺,本書件為初稿本；補正期限：103年1月31日。,1020913,審查中,國立清華大學,-,529033.69,補正後再審,23.378432
1021334A,差異分析報告,陳彥男,高雄市,1030124,經濟部,,,本書件為確認本,1021014,審核修正通過,台灣自來水股份有限公司第七區管理處,1030402,0,完成審查,0
1021324A,差異分析報告,陳彥男,高雄市,1030124,經濟部,,,本書件為確認本,1021014,審核修正通過,台灣自來水股份有限公司第七區管理處,1030402,0,完成審查,0
1021314A,差異分析報告,陳彥男,高雄市,1030124,經濟部,,,本書件為確認本,1021014,審核修正通過,台灣自來水股份有限公司第七區管理處,1030402,0,完成審查,0
1021343A,差異分析報告,陳彥男,高雄市,1030124,經濟部,,,本書件為確認本,1021014,審核修正通過,台灣自來水股份有限公司第七區管理處,1030402,0,完成審查,0
1021244A,差異分析報告,陳彥男,高雄市,1030124,經濟部,,,本書件為確認本,1021014,審核修正通過,台灣自來水股份有限公司第七區管理處,1030402,0,完成審查,0
1021364A,說明書,劉馥萱,澎湖縣,1030217,經濟部,供水、抽水或引水工程之開發,公頃,本書件為確認本,1020909,審查中,台灣自來水股份有限公司南區工程處,1030521,4.96,預備提會,4.96
1021233A,說明書,劉馥萱,澎湖縣,1030217,經濟部,供水、抽水或引水工程之開發,公頃,本書件為確認本,1020909,審查中,台灣自來水股份有限公司南區工程處,1030521,4.96,預備提會,4.96
1021223A,說明書,劉馥萱,澎湖縣,1030217,經濟部,供水、抽水或引水工程之開發,公頃,本書件為確認本,1020909,審查中,台灣自來水股份有限公司南區工程處,1030521,4.96,預備提會,4.96
1021211A,說明書,劉馥萱,澎湖縣,1030217,經濟部,供水、抽水或引水工程之開發,公頃,本書件為確認本,1020909,審查中,台灣自來水股份有限公司南區工程處,1030521,4.96,預備提會,4.96
1021204A,說明書,劉馥萱,澎湖縣,1030217,經濟部,供水、抽水或引水工程之開發,公頃,本書件為確認本,1020909,審查中,台灣自來水股份有限公司南區工程處,1030521,4.96,預備提會,4.96
1021181A,說明書,劉馥萱,澎湖縣,1030217,經濟部,供水、抽水或引水工程之開發,公頃,本書件為確認本,1020909,審查中,台灣自來水股份有限公司南區工程處,1030521,4.96,預備提會,4.96
1021173A,變更內容對照表,邱景昆,臺中市,1021022,經濟部工業局,,,本書件為定稿本,1020101,審核修正通過,中美和石油化學股份有限公司,1021127,0,辦理結案,0
1021161A,變更內容對照表,邱景昆,桃園縣,-,交通部,,,"不繼續實施,本書件為定稿本",0991010,審查中,交通部民用航空局,-,0,審查中,0
1021151A,政策評估說明書,楊智凱,南投縣,1030430,內政部營建署,,公頃,本書件為修訂本,,徵詢意見或補正中,南投縣政府,-,0,初審中,497.89
1021147A,政策評估說明書,楊智凱,南投縣,1030430,內政部營建署,,公頃,本書件為修訂本,,徵詢意見或補正中,南投縣政府,-,0,初審中,497.89
1021133A,政策評估說明書,楊智凱,南投縣,1030430,內政部營建署,,公頃,本書件為修訂本,,徵詢意見或補正中,南投縣政府,-,0,初審中,497.89
1021124A,政策評估說明書,楊智凱,南投縣,1030430,內政部營建署,,公頃,本書件為修訂本,,徵詢意見或補正中,南投縣政府,-,0,初審中,497.89
1021114A,差異分析報告,楊智凱,新竹市,1030304,行政院國家科學委員會,,,本書件為修訂本,1020705,審查中,科學工業園區管理局,-,0,預備提會,0
1021104A,差異分析報告,楊智凱,新竹市,1030304,行政院國家科學委員會,,,本書件為修訂本,1020705,審查中,科學工業園區管理局,-,0,預備提會,0
1021094A,差異分析報告,楊智凱,新竹市,1030304,行政院國家科學委員會,,,本書件為修訂本,1020705,審查中,科學工業園區管理局,-,0,預備提會,0
1021084A,差異分析報告,楊智凱,新竹市,1030304,行政院國家科學委員會,,,本書件為修訂本,1020705,審查中,科學工業園區管理局,-,0,預備提會,0
1021074A,差異分析報告,楊智凱,新竹市,1030304,行政院國家科學委員會,,,本書件為修訂本,1020705,審查中,科學工業園區管理局,-,0,預備提會,0
1021063A,變更內容對照表,邱景昆,新竹市,1020909,交通部觀光局,,,本書件為定稿本,1020101,審核修正通過,承恩建設股份有限公司,1021113,0,完成審查,0
1021054A,變更內容對照表,邱景昆,新竹市,1020909,交通部觀光局,,,本書件為定稿本,1020101,審核修正通過,承恩建設股份有限公司,1021113,0,完成審查,0
1021044A,變更內容對照表,邱景昆,新竹市,1020909,交通部觀光局,,,本書件為定稿本,1020101,審核修正通過,承恩建設股份有限公司,1021113,0,完成審查,0
1021034A,變更內容對照表,邱景昆,新竹市,1020909,交通部觀光局,,,本書件為定稿本,1020101,審核修正通過,承恩建設股份有限公司,1021113,0,完成審查,0
1021024A,變更內容對照表,邱景昆,新竹市,1020909,交通部觀光局,,,本書件為定稿本,1020101,審核修正通過,承恩建設股份有限公司,1021113,0,完成審查,0
1021010A,變更內容對照表,邱景昆,新竹市,1020909,交通部觀光局,,,本書件為定稿本,1020101,審核修正通過,承恩建設股份有限公司,1021113,0,完成審查,0
1021003A,差異分析報告,楊智凱,高雄市,1021205,交通部,,,本書件為確認本,1020705,審核修正通過,交通部臺灣區國道新建工程局,1030219,0,完成審查,0
1020994A,變更內容對照表,邱景昆,高雄市,1020823,教育部,,,本書件為定稿本,1020719,審核修正通過,國立高雄第一科技大學,1021018,0,辦理結案,0
1020984A,差異分析報告,溫育勇,雲林縣,1020809,交通部,,,,1020718,審核修正通過,交通部公路總局,1020830,0,辦理結案,0
1020976A,差異分析報告,溫育勇,雲林縣,1020809,交通部,,,,1020718,審核修正通過,交通部公路總局,1020830,0,辦理結案,0
1020963A,差異分析報告,溫育勇,雲林縣,1020809,交通部,,,,1020718,審核修正通過,交通部公路總局,1020830,0,辦理結案,0
1020953A,差異分析報告,溫育勇,雲林縣,1020809,交通部,,,,1020718,審核修正通過,交通部公路總局,1020830,0,辦理結案,0
1020943A,變更內容對照表,邱景昆,宜蘭縣,-,行政院國家科學委員會,,,本書件為定稿本,1020101,審核修正通過,科學工業園區管理局,-,0,辦理結案,0
1020931A,變更內容對照表,邱景昆,宜蘭縣,-,行政院國家科學委員會,,,本書件為定稿本,1020101,審核修正通過,科學工業園區管理局,-,0,辦理結案,0
1020923A,變更內容對照表,邱景昆,宜蘭縣,-,行政院國家科學委員會,,,本書件為定稿本,1020101,審核修正通過,科學工業園區管理局,-,0,辦理結案,0
1020913A,變更內容對照表,邱景昆,宜蘭縣,-,行政院國家科學委員會,,,本書件為定稿本,1020101,審核修正通過,科學工業園區管理局,-,0,辦理結案,0
