Id,DevCategory,Taker,SendDate,Area,Region,Agency,ExamineDate,CommitteeDate,ExamineStatus,Status,DocType,DevUnit,Notes,Unit,Size
0780321A,高爾夫球場之開發,,,148.6663,苗栗縣,行政院體育委員會,-,-,有條件通過環境影響評估,辦理結案,說明書,耀德國際育樂股份有限公司,,公頃,148.6663
0780328A,,,,0,苗栗縣,行政院體育委員會,-,-,審核修正通過,辦理結案,其他,耀德國際育樂土份有限公司皇家高爾夫球場,本書件為定稿本,,0
0780331A,屠宰場興建或擴建工程,陳昭旭,,0,臺北市,-,-,-,有條件通過環境影響評估,辦理結案,說明書,台北市政府市場管理處,,平方公尺,1050
0780342A,大眾捷運系統之開發,,,,臺灣地區,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,臺北市政府捷運工程局,,公里,71.9
0780358A,,,,0,南投縣,,-,-,審核修正通過,辦理結案,其他,台灣省水利局,,,0
0780646A,,,,0,臺灣地區,交通部,-,-,其他,辦理結案,因應對策,臺北市政府捷運工程局,,,0
0780652A,環境保護工程之興建,徐天明,,14.5,臺南市,行政院環境保護署,-,-,有條件通過環境影響評估,完成審查,評估報告書,台南市政府,,公頃,14.5
0790011A,高爾夫球場之開發,,,52.6994,新北市,,-,-,有條件通過環境影響評估,辦理結案,說明書,美麗華開發股份有限公司,,公頃,52.6994
0790021A,高爾夫球場之開發,陳昭旭,,67.532,新竹縣,行政院體育委員會,-,-,有條件通過環境影響評估,辦理結案,說明書,旭陽育樂事業股份有限公司,,公頃,67.532
0790031A,高爾夫球場之開發,,,78.7687,南投縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,溪頭國際股份有限公司,,公頃,78.7687
0790041A,高爾夫球場之開發,,,63.7023,苗栗縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,達冠育樂股份有限公司,,公頃,63.7023
0790051A,高爾夫球場之開發,,,82.9164,苗栗縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,大洋育樂股份友限公司,,公頃,82.9164
0790082A,高爾夫球場之開發,,,61.0653,新北市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,新店育樂事業股份有限公司,,公頃,61.0653
0790091A,高爾夫球場之開發,,,59.917,臺中縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,長億育樂興業股份有限公司,,公頃,59.917
0790101A,核能及其他能源之開發,蔡玲儀,,0,苗栗縣,經濟部,-,-,有條件通過環境影響評估,辦理結案,說明書,台灣電力公司,,瓩,322210000
0790112A,大眾捷運系統之開發,,,0,新北市,交通部,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台北市政府捷運工程局,,公里,6.5
0790121A,園區之開發,,,40.98,花蓮縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,花蓮縣政府,,公頃,40.98
0790131A,核能及其他能源之開發,,,,桃園縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,中國石油股份有限公司,,,
0790141A,園區之開發,,,,桃園縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,經濟部工業局,,,
0790152A,土石採取,,,520,花蓮縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,經濟部工業局,,公頃,520
0790162A,土石採取,,,3490,花蓮縣,,-,-,認定不應開發,辦理結案,評估報告書,泰和水泥工業股份有限公司,,公頃,3490
0790181A,園區之開發,,,41.3,苗栗縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,東和鋼鐵股份有限公司,,公頃,41.3
0790202A,環境保護工程之興建,,,7.8,花蓮縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,財團法人中華民國港埠服務社,,公頃,7.8
0790211A,環境保護工程之興建,,,,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,中國鋼鐵公司,,,0.9
0790221A,環境保護工程之興建,陳志銘,,0,桃園縣,經濟部工業局,-,-,有條件通過環境影響評估,辦理結案,說明書,保福環保事業股份有限公司,,平方公尺,10820
0790231A,環境保護工程之興建,,,,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,期發環保企業股份有限公司,,平方公尺,2100
0790241A,遊樂區之開發,,,40.8,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,霖園遊樂事業股份有限公司,,公頃,40.8
0790252A,蓄水工程之開發,,,647,苗栗縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣省水利局,,公頃,647
0790262A,新市區建設,,,11.7899,彰化縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,樹陽開發股份有限公司,,公頃,11.7899
0790271A,高爾夫球場之開發,,,72.452,新北市,,-,-,有條件通過環境影響評估,辦理結案,說明書,柏林育樂股份有限公司,,公頃,72.452
0790281A,高爾夫球場之開發,,,72.8452,新北市,,-,-,有條件通過環境影響評估,辦理結案,說明書,美麗華開發股份有限公司,,公頃,72.8452
0790291A,高爾夫球場之開發,,,15.2472,苗栗縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,天仁育樂股份有限公司,,公頃,15.2472
0790302A,工廠之設立,,,,新北市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,中國金屬化工股份有限公司,,,
0790311A,新市區建設,,,23.0944,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,墩豐機械股份有限公司,,公頃,23.0944
0790321A,高爾夫球場之開發,,,85.4615,彰化縣,行政院體育委員會,-,-,有條件通過環境影響評估,辦理結案,說明書,彰化縣農會,,公頃,85.4615
0790331A,高爾夫球場之開發,,,40.7765,臺南縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,統樂開發事業股份有限公司,,公頃,40.7765
0790351A,探礦、採礦,,,119.154,花蓮縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,鄒李掽頭,,公頃,119.154
0790361A,園區之開發,,,,彰化縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,經濟部工業局,,公頃,
0790371A,高爾夫球場之開發,,,40.26,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,富隆開發股份有限公司,,公頃,40.26
0790381A,高爾夫球場之開發,,,57.731,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,信大育樂事業股份有限公司,,公頃,57.731
0790391A,高爾夫球場之開發,,,45.1965,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,百年開發股份有限公司,,公頃,45.1965
0790401A,高爾夫球場之開發,,,41.6035,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,龍武建設開發股份有限公司,,公頃,41.6035
0790411A,高爾夫球場之開發,陳昭旭,,108.0566,新竹縣,行政院體育委員會,-,-,有條件通過環境影響評估,辦理結案,說明書,萬泰股份有限公司,,公頃,108.0566
0790421A,高爾夫球場之開發,,,61.0653,新北市,,-,-,應繼續進行第二階段環境影響評估,辦理結案,說明書,新店育樂事業股份有限公司,,公頃,61.0653
0790431A,其他開發行為,,,39.0733,臺中縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,台灣糖業股份有限公司,,公頃,39.0733
0790442A,土石採取,,,245.768,花蓮縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,怡岑水泥股份有限公司,,公頃,245.768
0790451A,其他開發行為,,,,臺灣地區,,-,-,有條件通過環境影響評估,辦理結案,說明書,崧聖工業股份有限公司,,平方公尺,11757
0790463A,,邱景昆,,0,彰化縣,行政院體育委員會,-,-,審核修正通過,辦理結案,差異分析報告,彰化縣農會,,,0
0790471A,遊樂區之開發,,,4.346,桃園縣,交通處,-,-,有條件通過環境影響評估,辦理結案,說明書,小人國企業股份有限公司,,公頃,4.346
0790482A,核能及其他能源之開發,曾華生,,0,臺中市,經濟部,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣電力公司,,公頃,0
0790491A,環境保護工程之興建,-,0791231,0,臺灣地區,-,-,-,通過環境影響評估審查,辦理結案,說明書,運泰有限公司,,公頃,0
0800011B,新市區建設,顏佳慧,,0,新北市,,-,-,有條件通過環境影響評估,,說明書,周興宣、楊健一,此為79年，環評法之前之開發計畫報告書定稿本,公頃,0
0800011A,高爾夫球場之開發,,,62.2042,臺中縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,合家歡育樂事業股份有限公司,,公頃,62.2042
0800021A,高爾夫球場之開發,,,54.6537,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,台青育樂股份有限公司,,公頃,54.6537
0800042A,高爾夫球場之開發,,,47.0129,苗栗縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,天仁育樂有限公司,,公頃,47.0129
0800052A,核能及其他能源之開發,,,203,宜蘭縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣電力公司,,公頃,203
0800062A,道路之開發,蔣俊彥,,0,臺灣本島,交通部,-,-,有條件通過環境影響評估,辦理結案,評估報告書,交通部台灣區國道新建工程局,,公里,31
0800068A,,,,0,臺灣本島,交通部,-,-,審核修正通過,辦理結案,其他,交通部台灣區國道新建工程局,,,0
0800072A,道路之開發,,,,臺灣地區,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,交通部台灣區國道新建工程局,,公里,11
0800082A,道路之開發,,,,臺灣地區,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,交通部台灣區國道新建工程局,,公里,128
0800092A,道路之開發,,,,臺灣地區,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,交通部台灣區國道新建工程局,,公里,103.3
0800102A,道路之開發,,,,臺灣地區,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,交通部台灣區國道新建工程局,,公里,148
0800111A,道路之開發,蔣俊彥,,0,新北市,交通部,-,-,有條件通過環境影響評估,辦理結案,說明書,交通部台灣區國道高速公路局,,公里,21
0800122A,園區之開發,,,582,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,經濟部工業局,,公頃,582
0800132A,工廠之設立,,,565.5,臺南縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台南縣政府,,公頃,565.5
0800152A,園區之開發,,,207,高雄市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,高雄縣政府、台糖公司、台灣土地開發信託投資股份有限公司,,公頃,207
0800161A,設置石油、石油製品貯存槽,,,,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,中國石油股份有限公司,,公尺,1450
0800171A,工廠之設立,,,0,高雄市,經濟部工業局,-,-,有條件通過環境影響評估,辦理結案,說明書,中國鋼鐵股份有限公司,,,0
0800181A,高爾夫球場之開發,,,47.0129,苗栗縣,,-,-,應繼續進行第二階段環境影響評估,辦理結案,說明書,天仁育樂有限公司,,公頃,47.0129
0800192A,工廠之設立,,,1052,雲林縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣塑膠、南亞塑膠、台灣化學纖維股份有限公司,,公頃,1052
0800201A,環境保護工程之興建,,,,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,行政院退輔會榮工處,,,
0800211A,環境保護工程之興建,,,20,新北市,,-,-,有條件通過環境影響評估,辦理結案,說明書,台北縣環境保護局,,公頃,20
0800221A,環境保護工程之興建,,,457,臺中市,,-,-,有條件通過環境影響評估,辦理結案,說明書,台灣電力公司,,公頃,457
0800231A,其他開發行為,,,18.8245,桃園縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,台灣電視公司,,公頃,18.8245
0800261A,觀光(休閒)飯店、旅(賓)館,,,0,屏東縣,交通部觀光局,-,-,應繼續進行第二階段環境影響評估,辦理結案,說明書,耕頂興業股份有限公司,,平方公尺,61651
0800271A,遊樂區之開發,,,30.792,花蓮縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,觀嶺育樂企業股份有限公司,,公頃,30.792
0800281A,遊樂區之開發,,,83.7601,苗栗縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,大洋育樂股份有限公司,,公頃,83.7601
0800291A,遊樂區之開發,,,71.5285,臺南縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,台南縣農會,,公頃,71.5285
0800301A,遊樂區之開發,,,,嘉義縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,嘉義縣政府,,公尺,1100
0800311A,新市區建設,,,40.7415,新竹縣,,-,-,應繼續進行第二階段環境影響評估,辦理結案,說明書,東雲股份有限公司,,公頃,40.7415
0800321A,新市區建設,,,12.299272,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,姚武年,,公頃,12.299272
0800331A,新市區建設,,,45.616,新竹縣,,-,-,應繼續進行第二階段環境影響評估,辦理結案,說明書,名佳育樂公司,,公頃,45.616
0800341A,殯儀館、骨灰(骸)存放設施,,,23.266426,新北市,,-,-,應繼續進行第二階段環境影響評估,辦理結案,說明書,溫慈惠,,公頃,23.266426
0800351A,高爾夫球場之開發,,,40.8826,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,長安國際開發股份有限公司,,公頃,40.8826
0800361A,高爾夫球場之開發,,,40.5076,臺南縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,百興育樂股份有限公司,,公頃,40.5076
0800372A,園區之開發,,,195.5,臺南市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台南市政府,,公頃,195.5
0800382A,園區之開發,,,0,雲林縣,經濟部工業局,-,-,有條件通過環境影響評估,辦理結案,評估報告書,經濟部工業局,,公里,32
0800383A,,陳昭旭,,0,雲林縣,經濟部,-,-,其他,辦理結案,差異分析報告,經濟部工業局,本書件為修正本,,0
0800384A,,呂雅雯,,0,雲林縣,經濟部工業局,-,-,審核修正通過,辦理結案,變更內容對照表,經濟部工業局,,,0
0800391A,遊樂區之開發,,,10.2114,苗栗縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,耀德國際育樂股份有限公司,,公頃,10.2114
0800401A,高爾夫球場之開發,李逸中,,66.855,新竹縣,行政院體育委員會,-,-,有條件通過環境影響評估,辦理結案,說明書,台盟開發股份有限公司,,公頃,66.855
0800411A,新市區建設,,,14.2517,高雄市,,-,-,應繼續進行第二階段環境影響評估,辦理結案,說明書,姚武年,,公頃,14.2517
0800422A,新市區建設,,,20.3754,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,林李玉霞,,公頃,20.3754
0800431A,港區申請設置水泥儲庫,,,,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,國產實業建設股份有限公司,,平方公尺,2635.6
0800441A,環境保護工程之興建,,,8,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,榮民工程事業管理處,,公頃,8
0800452A,環境保護工程之興建,,,9.2,屏東縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,屏東縣環境保護局,,立方公尺,580000
0800461A,環境保護工程之興建,,,,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,中聯爐石處理資源化股份有限公司,,公噸,18000
0800472A,風景區之開發,,,18.1201,嘉義縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,麗景育樂開發股份有限公司,,公頃,18.1201
0800481A,運動場地之開發,,,4.99,嘉義縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,中華民國體育運動總會,,公頃,4.99
0800491A,文教建設之開發,,,0.9,臺灣地區,,-,-,退件/撤銷,辦理結案,說明書,財團法人中華工程公司,,公頃,0.9
0800573A,,郭怡君,,0,臺灣本島,交通部,-,-,審核修正通過,辦理結案,差異分析報告,交通部台灣區國道新建工程局,本書件為定稿本,,0
0800583A,,蔡玲儀,,0,臺灣本島,交通部,-,-,審核修正通過,辦理結案,差異分析報告,交通部台灣區國道新建工程局,本書件為定稿本,,0
0800603A,,,,0,臺灣本島,交通部,-,-,其他,辦理結案,差異分析報告,交通部台灣區國道新建工程局,此書為修訂本,,0
0800628A,,,,0,臺灣本島,交通部,-,-,審核修正通過,辦理結案,其他,交通部台灣區國道新建工程局,,,0
0800638A,,,,0,臺灣本島,交通部,-,-,審核修正通過,辦理結案,其他,交通部台灣區國道新建工程局,定稿本,,0
0800652A,核能及其他能源之開發,,,0,新北市,經濟部,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣電力公司,本書件為修訂本,瓩,2000000
0800662A,核能及其他能源之開發,,,0,新北市,經濟部,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣電力公司,,,0
0810011B,環境保護工程之興建,顏佳慧,,0,新北市,,-,-,有條件通過環境影響評估,,說明書,臺北縣政府,,公頃,0
0810011A,高爾夫球場之開發,,,49.9423,新北市,,-,-,有條件通過環境影響評估,辦理結案,說明書,旭日國際育樂股份有公司,,公頃,49.9423
0810021A,高爾夫球場之開發,,,6156,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,山溪地育樂事業股份有限公司,,公頃,6156
0810031A,高爾夫球場之開發,,,80.4766,新北市,行政院體育委員會,-,-,有條件通過環境影響評估,辦理結案,說明書,北濱育樂事業股份有限公司,,公頃,80.4766
0810041A,核能及其他能源之開發,,,243,桃園縣,經濟部,-,-,有條件通過環境影響評估,辦理結案,說明書,中國石油公司、台灣電力公司,,公頃,243
0810062A,園區之開發,,,3643,彰化縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,經濟部工業局,,公頃,3643
0810071A,園區之開發,詹淑然,,0,高雄市,經濟部工業局,-,-,有條件通過環境影響評估,辦理結案,說明書,中國鋼鐵股份有限公司,,公頃,0
0810082A,園區之開發,-,0810101,1146,臺南市,經濟部工業局,-,-,有條件通過環境影響評估,辦理結案,評估報告書,經濟部工業局,繳費日期及承辦人僅供參考,公頃,1146
0810088A,,吳美玲,,0,臺南市,經濟部工業局,-,-,審核修正通過,辦理結案,其他,經濟部工業局,本書件為定稿本,,0
0810101A,環境保護工程之興建,,,1.59,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,中國石油股份有限公司,,公頃,1.59
0810111A,觀光(休閒)飯店、旅(賓)館,,,,屏東縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,海口大飯店股份有限公司,,平方公尺,13290
0810122A,文教建設之開發,,,10,高雄市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,高雄市政府民政局,,公頃,10
0810131A,公墓興建或擴建工程,蔡玲儀,,69.7717,宜蘭縣,內政部營建署,-,-,有條件通過環境影響評估,辦理結案,說明書,宜蘭縣政府,,公頃,69.7717
0810142A,港灣之開發,,,0,臺南市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,臺灣港務股份有限公司,,,0
